ID,Paved Drive,BsmtExposure,BsmtUnfinishedArea,ProximityToMainRoad2,KitchenQuality,SaleCondition,LivingArea,Lot Config,FenceQuality,SaleType,HalfBaths,Neighborhood,HeatingQuality,LotFrontage,RoofMaterial,Exterior1,Foundation,HouseType,YearRemodelled,MasVnrArea,Misc Feature,GarageFinish,ExteriorQual,UtilitiesAvailable,HouseStyle,MasVnrType,FireplaceQuality,EnclosedPorchArea,BsmtCondition,PoolSize,BsmtHeight,BsmtFullBaths,ScreenPorchArea,Misc,BsmtFinishType2,TotalRooms,YearBuilt,YearSold,BsmtFinish2Area,PoolQuality,OpenPorchArea,Fireplaces,RoofType,Functional,ExteriorCond,GarageCondition,TotalBsmtArea,Electrical,SeasonPorchArea,LowQualityFinishArea,ProximityToMainRoad,BsmtHalfBaths,GarageQuality,WoodDeckArea,ZoningClass,Bedrooms,TypeOfAlleyAccess,FullBaths,OverallRating,BsmtFinishType1,TypeOfRoadAccess,MonthSold,GarageCars,Shape,Flatness,HeatingType,Central Air,SlopeOfProperty,Exterior2,GarageArea,BsmtFinish1Area,Quality,GarageType,LotSize,Kitchens,GarageYearBuilt,BuildingClass,2ndFloorArea,1stFloorArea,SalePrice
10,Y,No,1047.0,Norm,Gd,Normal,1668,Inside,,WD ,1,CollgCr,Ex,72.0,CompShg,VinylSd,PConc,1Fam,2003,101.0,,RFn,Gd,AllPub,2Story,BrkFace,,0,TA,0,Gd,0.0,0,0,Unf,8,2003,2007,0.0,,68,0,Gable,Typ,TA,TA,1047.0,SBrkr,0,0,Norm,0.0,TA,144,RL,3,,2,5,Unf,Pave,9,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,500.0,0.0,7,Attchd,11317,1,2003.0,60,1080,1884,215356
11,Y,No,835.0,Norm,Gd,Normal,2030,Inside,,WD ,1,NWAmes,TA,,CompShg,Plywood,CBlock,1Fam,1976,298.0,,Fin,TA,AllPub,2Story,BrkFace,TA,0,TA,0,TA,0.0,0,0,Unf,8,1976,2007,0.0,,224,1,Gable,Typ,TA,TA,1055.0,SBrkr,0,0,Norm,0.0,TA,0,RL,4,,2,6,LwQ,Pave,6,2.0,IR1,Lvl,GasA,Y,Gtl,Plywood,551.0,220.0,6,Attchd,12046,1,1976.0,60,1164,2162,231856
12,Y,No,267.0,Norm,TA,Normal,1164,Inside,,ConLD,0,Edwards,TA,68.0,CompShg,MetalSd,CBlock,2fmCon,1950,0.0,,Unf,TA,AllPub,1Story,None,,0,TA,0,TA,1.0,0,0,Unf,5,1950,2008,0.0,,48,0,Gable,Typ,TA,TA,1371.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,1,5,ALQ,Pave,8,1.0,Reg,Lvl,GasW,N,Gtl,MetalSd,240.0,1104.0,5,Detchd,10880,1,1950.0,190,252,2208,154856
13,Y,,0.0,Norm,TA,Normal,1210,Inside,MnPrv,ConLD,1,NAmes,TA,75.0,CompShg,Wd Sdng,Slab,1Fam,1953,140.0,,Fin,TA,AllPub,1Story,BrkFace,,100,,0,,0.0,0,0,,7,1953,2009,0.0,,0,0,Hip,Typ,TA,TA,0.0,FuseA,0,0,Norm,0.0,TA,208,RL,2,,1,5,,Pave,8,1.0,Reg,Lvl,GasA,Y,Gtl,Wd Sdng,616.0,0.0,5,Attchd,9533,1,1953.0,20,0,2254,130546
14,N,No,243.0,Norm,Gd,Normal,1001,Inside,,WD ,0,IDOTRR,Ex,60.0,CompShg,MetalSd,BrkTil,1Fam,2007,0.0,,Unf,Gd,AllPub,1Story,None,,42,TA,0,TA,0.0,0,0,Unf,5,1930,2007,0.0,,0,0,Hip,Typ,TA,Po,1044.0,SBrkr,86,0,Norm,0.0,TA,154,C (all),2,,1,9,ALQ,Pave,11,1.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,216.0,801.0,5,Detchd,6060,1,1930.0,30,252,2045,154746
15,Y,Av,102.0,Norm,Ex,Normal,1494,CulDSac,,WD ,1,Veenker,Ex,30.0,CompShg,BrkFace,PConc,TwnhsE,1996,0.0,,Fin,Gd,AllPub,1Story,None,Gd,0,Gd,0,Gd,1.0,216,0,GLQ,6,1995,2006,1098.0,,30,1,Hip,Typ,Gd,TA,1701.0,SBrkr,0,0,Norm,0.0,TA,0,RL,2,,1,5,LwQ,Pave,4,2.0,IR1,Lvl,GasA,Y,Gtl,BrkFace,481.0,501.0,8,Attchd,9549,1,1995.0,120,252,2538,314356
16,Y,Av,369.0,Norm,Gd,Partial,1874,Inside,,New,1,Somerst,Ex,80.0,CompShg,VinylSd,PConc,1Fam,2008,310.0,,Fin,Gd,AllPub,2Story,Stone,Gd,0,TA,0,Gd,1.0,0,0,Unf,8,2007,2008,0.0,,108,1,Hip,Typ,TA,TA,1162.0,SBrkr,0,0,Norm,0.0,TA,168,RL,3,,2,5,GLQ,Pave,2,3.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,880.0,793.0,8,Attchd,9428,1,2007.0,60,1171,1999,345046
17,Y,No,465.0,Norm,TA,Normal,1772,Inside,,WD ,1,CollgCr,Ex,70.0,CompShg,VinylSd,PConc,1Fam,1998,120.0,,RFn,TA,AllPub,2Story,BrkFace,TA,0,TA,0,Gd,1.0,0,0,Unf,7,1998,2009,0.0,,96,1,Gable,Typ,TA,TA,1135.0,SBrkr,0,0,Norm,0.0,TA,150,RL,3,,2,5,GLQ,Pave,4,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,492.0,670.0,6,Attchd,8750,1,1998.0,60,1096,1972,237356
18,Y,Mn,232.0,Norm,Gd,Normal,2365,Inside,,WD ,1,NoRidge,Ex,82.0,CompShg,VinylSd,PConc,1Fam,1999,673.0,,RFn,Gd,AllPub,2Story,BrkFace,Gd,0,TA,0,Gd,1.0,180,0,Unf,8,1999,2009,0.0,,128,1,Gable,Typ,TA,TA,1459.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,2,5,GLQ,Pave,7,3.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,856.0,1227.0,8,Attchd,9430,1,1999.0,60,1349,2312,388056
19,Y,Av,449.0,Norm,Gd,Normal,1310,Inside,,WD ,1,Somerst,Ex,,CompShg,VinylSd,PConc,TwnhsE,2001,179.0,,RFn,Gd,AllPub,1Story,BrkFace,TA,0,TA,0,Ex,1.0,0,0,Unf,5,2001,2008,0.0,,45,1,Gable,Typ,TA,TA,1517.0,SBrkr,0,0,Norm,0.0,TA,277,FV,1,,1,5,GLQ,Pave,7,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,545.0,1068.0,9,Attchd,4538,1,2001.0,120,252,2354,330856
20,Y,No,754.0,Norm,TA,Abnorml,1520,Inside,,WD ,0,SWISU,Ex,55.0,CompShg,VinylSd,BrkTil,1Fam,2000,0.0,,Unf,TA,AllPub,1.5Fin,None,,56,TA,0,TA,0.0,0,0,Unf,6,1932,2009,0.0,,0,0,Gable,Typ,TA,TA,1000.0,SBrkr,0,0,Norm,0.0,TA,0,RH,3,Pave,1,5,Rec,Pave,7,1.0,IR2,Bnk,GasA,Y,Gtl,Stucco,281.0,246.0,5,Detchd,4500,1,1968.0,50,924,1892,192733
21,Y,No,883.0,Norm,TA,Normal,1264,Inside,,WD ,0,Crawfor,Ex,63.0,CompShg,Wd Sdng,BrkTil,1Fam,1995,0.0,Shed,Unf,TA,AllPub,1.5Fin,None,,0,TA,0,Gd,0.0,0,400,Unf,6,1914,2008,0.0,,0,0,Gable,Typ,TA,TA,883.0,SBrkr,0,0,Norm,0.0,TA,424,RL,3,,1,6,Unf,Pave,1,2.0,Reg,Lvl,GasA,Y,Gtl,Wd Shng,400.0,0.0,6,Detchd,15564,1,1994.0,50,840,1720,179606
22,Y,No,640.0,Norm,TA,Normal,1216,FR2,MnPrv,WD ,0,BrkSide,TA,60.0,CompShg,AsbShng,BrkTil,1Fam,1997,0.0,,RFn,TA,AllPub,1.5Fin,None,Gd,180,TA,0,TA,1.0,0,0,Unf,6,1920,2008,0.0,,0,1,Gable,Typ,Gd,TA,772.0,SBrkr,0,0,Feedr,0.0,Fa,0,RM,3,,1,7,ALQ,Pave,4,1.0,IR1,Lvl,GasA,Y,Gtl,AsbShng,355.0,132.0,5,BuiltIn,5520,1,1920.0,50,903,1609,143856
23,Y,No,514.0,Norm,Gd,Normal,2052,Inside,,WD ,1,Mitchel,Ex,75.0,CompShg,CemntBd,PConc,1Fam,2001,0.0,,Fin,Gd,AllPub,2Story,None,TA,0,TA,0,Gd,0.0,0,0,BLQ,7,2000,2009,291.0,,91,1,Gable,Typ,TA,TA,1314.0,SBrkr,0,0,Norm,0.0,TA,210,RL,3,,2,5,ALQ,Pave,5,3.0,Reg,Lvl,GasA,Y,Gtl,CmentBd,642.0,509.0,8,BuiltIn,10125,1,2000.0,60,1264,2084,293456
24,Y,No,1375.0,Norm,Gd,Normal,1269,Inside,,WD ,0,Blmngtn,Ex,43.0,CompShg,VinylSd,PConc,TwnhsE,2005,16.0,,Fin,Gd,AllPub,1Story,BrkFace,TA,0,TA,0,Gd,0.0,144,0,Unf,6,2004,2010,0.0,,20,1,Gable,Typ,TA,TA,1463.0,SBrkr,0,0,Norm,0.0,TA,146,RL,2,,2,5,GLQ,Pave,4,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,430.0,88.0,8,Attchd,3182,1,2004.0,120,252,2313,228556
25,Y,No,353.0,Norm,TA,Normal,950,Inside,,WD ,0,NAmes,TA,61.0,CompShg,HdBoard,CBlock,1Fam,1971,0.0,,Unf,TA,AllPub,1Story,None,,0,TA,0,TA,0.0,0,0,LwQ,5,1971,2007,328.0,,0,0,Gable,Typ,TA,TA,1157.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,1,5,BLQ,Pave,7,1.0,IR1,Lvl,GasA,Y,Gtl,MetalSd,280.0,476.0,5,Detchd,9758,1,1981.0,20,252,1994,148806
26,Y,No,413.0,Norm,Gd,Abnorml,1604,Inside,,WD ,1,CollgCr,Ex,68.0,CompShg,VinylSd,PConc,1Fam,2006,180.0,,RFn,Gd,AllPub,1Story,Stone,Gd,0,TA,0,Gd,1.0,0,0,Unf,8,2006,2009,0.0,,110,1,Gable,Typ,TA,TA,1811.0,SBrkr,0,0,Norm,0.0,TA,123,RL,3,,2,5,GLQ,Pave,3,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,660.0,1398.0,7,Attchd,8814,1,2006.0,20,252,2648,259356
27,Y,No,639.0,Norm,Gd,Normal,1342,Inside,,WD ,0,NridgHt,Ex,48.0,CompShg,MetalSd,PConc,TwnhsE,2007,176.0,,Fin,Gd,AllPub,1Story,BrkFace,Gd,0,TA,0,Gd,1.0,0,0,Unf,6,2006,2008,0.0,,35,1,Hip,Typ,TA,TA,1549.0,SBrkr,0,0,Norm,0.0,TA,0,RL,2,,2,5,GLQ,Pave,6,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,550.0,910.0,8,Attchd,6240,1,2007.0,120,252,2386,275031
28,Y,No,679.0,Norm,TA,Normal,858,Inside,,WD ,0,NAmes,TA,,CompShg,HdBoard,CBlock,1Fam,1971,0.0,,Unf,TA,AllPub,1Story,None,,0,TA,0,TA,0.0,0,0,Unf,4,1971,2007,0.0,,0,0,Gable,Typ,TA,TA,1065.0,SBrkr,0,0,Norm,0.0,TA,0,RL,2,,1,6,ALQ,Pave,6,1.0,IR1,Lvl,GasA,Y,Gtl,HdBoard,684.0,386.0,4,Detchd,7340,1,1979.0,20,252,1902,138356
29,Y,Av,296.0,Norm,Gd,Normal,1981,CulDSac,,WD ,1,ClearCr,Ex,,CompShg,VinylSd,PConc,1Fam,1992,288.0,,Fin,TA,AllPub,2Story,BrkFace,TA,0,TA,0,Gd,1.0,0,0,Unf,8,1978,2010,0.0,,104,1,Gable,Typ,TA,TA,1324.0,SBrkr,0,0,Norm,0.0,TA,336,RL,4,,2,5,ALQ,Pave,5,2.0,IR1,Low,GasA,Y,Mod,VinylSd,522.0,1028.0,6,Attchd,17082,1,1978.0,60,1116,2161,270356
30,Y,No,715.0,Norm,TA,Normal,1232,CulDSac,,WD ,0,Veenker,TA,,CompShg,Plywood,PConc,1Fam,1984,0.0,,Unf,TA,AllPub,1Story,None,,0,TA,0,Gd,0.0,0,0,Unf,6,1984,2008,0.0,,0,0,Gable,Typ,TA,TA,1439.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,2,6,BLQ,Pave,6,2.0,IR1,Lvl,GasA,Y,Gtl,Plywood,516.0,724.0,6,Attchd,11120,1,1984.0,20,252,2276,196106
31,N,Mn,945.0,Norm,TA,Normal,1376,Inside,,WD ,0,OldTown,Gd,42.0,CompShg,MetalSd,BrkTil,1Fam,1950,0.0,,Unf,TA,AllPub,2Story,None,,104,Fa,0,TA,0.0,225,0,Unf,7,1905,2006,0.0,,0,0,Gable,Typ,TA,TA,945.0,FuseA,0,0,Norm,0.0,TA,0,RM,2,Grvl,1,5,Unf,Pave,3,1.0,Reg,Lvl,GasA,Y,Mod,MetalSd,216.0,0.0,3,Detchd,7614,1,1930.0,70,914,1758,123946
32,Y,Mn,1070.0,Norm,Gd,Partial,1962,Inside,,New,1,CollgCr,Ex,73.0,CompShg,VinylSd,PConc,1Fam,2006,0.0,,RFn,Gd,AllPub,2Story,None,,0,Gd,0,Gd,0.0,0,0,Unf,7,2006,2006,0.0,,90,0,Gable,Typ,TA,TA,1598.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,2,5,GLQ,Pave,8,3.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,868.0,528.0,7,Attchd,8760,1,2006.0,60,823,2435,281134
33,Y,No,599.0,Norm,TA,Abnorml,2499,FR2,,WD ,1,Veenker,Ex,80.0,CompShg,Plywood,CBlock,1Fam,1976,200.0,,Unf,Gd,AllPub,SLvl,BrkFace,Gd,0,TA,0,TA,0.0,0,0,Unf,5,1976,2009,0.0,,64,1,Gable,Typ,Gd,TA,599.0,SBrkr,0,0,Feedr,0.0,TA,0,RL,4,,2,5,Unf,Pave,1,2.0,Reg,Low,GasA,Y,Mod,Plywood,527.0,0.0,8,Attchd,9600,1,1976.0,80,1264,2531,215906
34,Y,Gd,199.0,Norm,Gd,Normal,1119,Inside,,WD ,0,Gilbert,Ex,65.0,CompShg,VinylSd,PConc,1Fam,2005,0.0,,Fin,Gd,AllPub,SLvl,None,,0,TA,0,Gd,1.0,0,0,Unf,5,2004,2007,0.0,,24,0,Gable,Typ,TA,TA,1042.0,SBrkr,0,0,Norm,0.0,TA,100,RL,2,,2,5,GLQ,Pave,4,2.0,IR2,Lvl,GasA,Y,Gtl,VinylSd,437.0,843.0,7,Attchd,16219,1,2004.0,80,252,2163,224706
35,Y,Av,251.0,Norm,TA,Normal,768,Inside,MnPrv,WD ,0,CollgCr,Gd,60.0,CompShg,WdShing,CBlock,1Fam,2003,0.0,,Fin,TA,AllPub,SFoyer,None,,0,TA,0,Gd,0.0,0,0,Unf,5,1972,2009,0.0,,0,0,Gable,Typ,Gd,TA,975.0,SBrkr,0,0,Norm,1.0,TA,192,RL,2,,1,8,GLQ,Pave,4,1.0,Reg,Lvl,GasA,Y,Gtl,HdBoard,396.0,724.0,5,Detchd,7200,1,1974.0,85,252,1812,164646
36,Y,No,1091.0,Norm,Gd,Normal,1573,Inside,,WD ,0,BrkSide,Ex,51.0,CompShg,AsbShng,BrkTil,1Fam,1995,0.0,,Unf,TA,AllPub,1.5Fin,None,,54,TA,0,TA,0.0,120,0,Unf,6,1935,2009,0.0,,0,0,Gable,Typ,TA,TA,1091.0,SBrkr,0,0,Norm,0.0,TA,0,RM,3,,1,7,Unf,Pave,7,1.0,Reg,Lvl,GasA,Y,Gtl,AsbShng,240.0,0.0,4,Detchd,6120,1,1935.0,50,836,2033,163656
37,Y,No,748.0,Norm,TA,Normal,1664,Corner,,WD ,0,BrkSide,Ex,50.0,CompShg,CemntBd,CBlock,1Fam,1950,0.0,,Unf,TA,AllPub,1.5Fin,None,Gd,36,TA,0,TA,0.0,0,0,Unf,7,1947,2006,0.0,,24,2,Gable,Typ,Gd,TA,1211.0,SBrkr,0,0,Feedr,0.0,TA,0,RM,3,,2,7,ALQ,Pave,10,2.0,Reg,Lvl,GasA,Y,Gtl,CmentBd,420.0,463.0,6,Detchd,5000,1,1950.0,50,912,2048,192256
38,Y,No,624.0,Norm,TA,Normal,1505,Inside,,WD ,0,NAmes,Ex,128.0,CompShg,Wd Sdng,CBlock,1Fam,1953,90.0,,RFn,TA,AllPub,1Story,BrkFace,TA,0,TA,0,TA,1.0,0,0,Unf,6,1953,2009,0.0,,0,1,Hip,Typ,TA,TA,1712.0,SBrkr,162,0,Feedr,0.0,TA,0,RL,2,,1,4,BLQ,Pave,2,2.0,Reg,Lvl,GasA,Y,Gtl,Wd Sdng,505.0,1088.0,6,Attchd,12160,1,1953.0,20,252,2549,181806
39,Y,No,412.0,Norm,TA,Normal,1558,Inside,MnPrv,WD ,1,OldTown,TA,57.0,CompShg,Wd Sdng,BrkTil,1Fam,1950,0.0,,Unf,TA,AllPub,2Story,None,Gd,0,TA,0,TA,0.0,182,0,Unf,7,1939,2009,0.0,,36,1,Gable,Typ,TA,TA,897.0,FuseA,0,0,Norm,0.0,TA,0,RM,3,Grvl,1,6,ALQ,Pave,10,2.0,Reg,Lvl,GasA,Y,Gtl,Wd Sdng,400.0,485.0,5,Detchd,6406,1,1939.0,70,942,1912,182356
40,Y,Av,1055.0,Norm,Gd,Normal,1598,Inside,,WD ,1,Gilbert,Ex,59.0,CompShg,VinylSd,PConc,1Fam,2005,0.0,,Fin,Gd,AllPub,2Story,None,Gd,0,TA,0,Gd,0.0,0,0,Unf,7,2004,2006,0.0,,48,1,Gable,Typ,TA,TA,1055.0,SBrkr,0,0,Norm,0.0,TA,100,RL,3,,2,5,Unf,Pave,7,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,433.0,0.0,7,Attchd,9171,1,2004.0,60,1002,1892,238995
41,Y,Gd,143.0,Norm,TA,Normal,1072,Inside,,WD ,0,Edwards,Gd,35.0,CompShg,VinylSd,Wood,TwnhsE,2006,80.0,,Fin,TA,AllPub,SFoyer,BrkFace,,0,TA,0,Gd,1.0,0,0,Unf,5,2005,2009,0.0,,28,0,Gable,Typ,TA,TA,754.0,SBrkr,0,0,Norm,0.0,TA,0,RM,2,,1,5,GLQ,Pave,4,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,525.0,611.0,6,Basment,3675,1,2005.0,180,252,2116,177406
42,Y,No,195.0,Norm,TA,Abnorml,1714,Inside,,WD ,1,Gilbert,Gd,,CompShg,VinylSd,PConc,1Fam,2000,0.0,,Fin,TA,AllPub,2Story,None,TA,0,TA,0,Gd,1.0,0,0,Unf,7,1999,2007,0.0,,48,1,Gable,Typ,TA,TA,1130.0,SBrkr,0,0,Norm,0.0,TA,256,RL,3,,2,5,ALQ,Pave,4,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,451.0,935.0,6,Attchd,8637,1,2000.0,60,1019,1991,215356
43,P,No,975.0,Norm,Gd,Normal,1376,Inside,,WD ,0,BrkSide,Ex,60.0,CompShg,Wd Sdng,PConc,1Fam,1950,0.0,,Unf,TA,AllPub,1.5Fin,None,,144,TA,0,TA,0.0,0,0,Unf,7,1920,2007,0.0,,54,0,Gable,Typ,Gd,TA,975.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,Pave,1,7,Unf,Pave,2,2.0,Reg,Bnk,GasA,Y,Gtl,Wd Shng,576.0,0.0,6,Detchd,8850,1,1977.0,50,876,1796,198856
44,Y,Av,1533.0,Norm,Gd,Normal,1414,FR2,,WD ,0,CollgCr,Ex,65.0,CompShg,VinylSd,PConc,1Fam,2004,98.0,,RFn,Gd,AllPub,1Story,BrkFace,,0,TA,0,Gd,0.0,0,0,Unf,6,2004,2010,0.0,,105,0,Gable,Typ,TA,TA,1621.0,SBrkr,0,0,Norm,0.0,TA,132,RL,3,,2,5,GLQ,Pave,5,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,494.0,88.0,7,Attchd,8773,1,2004.0,20,252,2458,221406
45,Y,Gd,773.0,Norm,Ex,Partial,2656,Inside,,New,1,NridgHt,Ex,107.0,CompShg,CemntBd,PConc,1Fam,2007,456.0,,RFn,Ex,AllPub,2Story,BrkFace,Gd,0,TA,0,Ex,1.0,0,0,Unf,8,2007,2007,0.0,,58,1,Hip,Typ,TA,TA,2141.0,SBrkr,0,0,Norm,0.0,TA,268,RL,3,,2,5,GLQ,Pave,12,3.0,Reg,Lvl,GasA,Y,Gtl,CmentBd,1040.0,1368.0,9,Attchd,13641,1,2007.0,60,965,2987,558556
46,Y,No,957.0,Norm,Gd,Partial,1500,Inside,,New,1,CollgCr,Ex,68.0,CompShg,VinylSd,PConc,1Fam,2006,0.0,,RFn,TA,AllPub,2Story,None,,0,TA,0,Gd,0.0,0,0,Unf,6,2005,2006,0.0,,35,0,Gable,Typ,TA,TA,957.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,2,5,Unf,Pave,8,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,564.0,0.0,6,Attchd,8846,1,2005.0,60,1002,1794,208646
